@relation letter-weka.filters.unsupervised.attribute.RandomProjection-N10-R10-DSparse1-weka.filters.unsupervised.attribute.RandomProjection-N16-R10-DSparse1

@attribute K1 numeric
@attribute K2 numeric
@attribute K3 numeric
@attribute K4 numeric
@attribute K5 numeric
@attribute K6 numeric
@attribute K7 numeric
@attribute K8 numeric
@attribute K9 numeric
@attribute K10 numeric
@attribute K11 numeric
@attribute K12 numeric
@attribute K13 numeric
@attribute K14 numeric
@attribute K15 numeric
@attribute K16 numeric
@attribute class {A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T,U,V,W,X,Y,Z}

@data
3,-39,63,51,-60,-63,-24,33,-3,108,-63,42,-72,-18,-48,-21,Z
18,-0,57,90,-96,-120,-75,-3,-0,96,-9,42,-129,-78,-63,-36,P
-27,3,105,213,-159,-153,-138,15,27,144,-33,114,-129,-96,-54,-42,S
66,-9,27,57,-39,-69,-60,15,-45,54,0,36,-108,-159,-57,3,H
3,-15,57,111,-111,-117,-66,-12,21,135,-36,45,-93,-45,-36,-30,H
21,-27,75,60,-51,-84,-33,36,-6,150,-51,24,-93,-9,-24,0,F
6,-12,69,144,-120,-132,-81,-3,12,162,-51,57,-105,-48,-21,-15,N
45,-18,9,-81,15,-15,36,24,-45,6,-24,-21,-81,-66,-84,-3,R
18,-6,57,129,-135,-150,-75,-30,24,150,-45,39,-111,-27,-15,-18,M
6,-21,15,-33,0,-18,15,27,-42,33,-27,3,-75,-54,-81,-27,D
45,-42,12,-3,-15,-27,21,27,-57,42,-63,12,-84,-66,-27,24,V
66,-27,99,126,-105,-117,-102,42,-3,117,-48,90,-117,-144,-66,3,A
3,6,66,120,-138,-147,-87,-12,9,87,-27,63,-150,-81,-72,-42,K
9,-18,66,105,-90,-90,-60,27,-12,96,-63,69,-96,-72,-45,-6,D
-6,3,84,213,-186,-177,-135,-27,45,150,-36,96,-120,-78,-33,-39,S
-6,15,93,222,-198,-201,-144,-30,45,168,-36,93,-144,-78,-39,-39,H
-33,-6,69,147,-87,-105,-114,12,9,153,12,69,-93,-60,-63,-81,E
3,-36,60,51,-63,-66,-24,27,-0,108,-60,39,-72,-21,-48,-21,Z
27,-12,33,63,-69,-75,-42,9,-27,51,-36,45,-102,-108,-57,-6,O
48,-15,45,60,-72,-102,-63,3,-18,99,-18,33,-114,-96,-72,-30,Q
-21,-0,63,183,-117,-105,-120,18,-15,93,-27,111,-108,-147,-66,-39,Q
-63,30,51,135,-48,-60,-87,33,-24,63,15,69,-93,-75,-36,-33,L
57,-51,-6,-108,39,6,78,27,-60,33,-51,-45,-69,-18,-45,15,V
-21,-24,36,18,-42,-39,-3,30,-27,51,-57,36,-78,-39,-78,-33,X
-27,33,66,216,-213,-219,-147,-66,45,162,-18,78,-156,-75,-63,-75,V
21,12,60,168,-180,-183,-105,-51,39,147,-57,60,-111,-51,-24,-18,M
