@relation 'letter-weka.filters.unsupervised.attribute.Remove-V-R13,11,7,14,12,15,9,8,10,6,16,3,5,1,4,2,17'

@attribute x-ege numeric
@attribute x2ybr numeric
@attribute y-bar numeric
@attribute xegvy numeric
@attribute xy2br numeric
@attribute y-ege numeric
@attribute y2bar numeric
@attribute x2bar numeric
@attribute xybar numeric
@attribute x-bar numeric
@attribute yegvx numeric
@attribute width numeric
@attribute onpix numeric
@attribute x-box numeric
@attribute high numeric
@attribute y-box numeric
@attribute class {A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T,U,V,W,X,Y,Z}

@data
1,7,8,8,7,5,9,2,11,7,6,4,2,2,3,4,Z
2,7,9,9,9,7,4,6,8,5,10,5,5,4,5,7,P
2,2,8,5,8,5,10,5,11,8,10,8,4,7,7,10,S
3,6,7,8,8,0,1,13,7,7,8,5,4,4,7,9,H
3,7,6,8,9,3,7,3,10,7,7,8,4,6,5,7,H
1,7,12,10,5,1,5,2,13,4,7,5,3,4,5,7,F
5,7,8,8,8,1,5,2,10,7,8,8,4,6,8,10,N
2,5,10,7,8,4,2,7,7,6,9,2,1,1,0,0,R
7,8,7,6,9,2,4,2,9,7,8,7,7,5,6,9,M
2,6,7,8,6,3,6,8,7,5,8,2,1,1,1,0,D
3,13,8,10,8,0,2,4,5,9,8,4,1,2,5,7,V
2,1,4,6,8,4,3,5,12,13,9,5,3,3,8,11,A
4,6,7,6,7,8,4,4,7,8,13,5,5,3,5,7,K
3,5,8,8,4,3,5,4,9,8,7,5,4,3,6,8,D
4,5,8,6,7,6,6,3,10,7,8,9,6,8,8,11,S
5,4,7,6,7,4,6,3,10,9,9,10,9,7,8,11,H
0,6,7,8,15,7,12,6,7,3,6,5,3,5,7,5,E
1,7,8,8,7,5,9,2,11,7,6,5,2,2,3,4,Z
3,7,9,8,7,3,4,8,7,8,8,6,4,4,5,7,O
3,7,8,9,11,5,2,6,7,8,8,4,5,4,7,6,Q
3,4,5,8,8,4,8,9,6,8,8,7,3,5,9,10,Q
0,1,1,8,6,0,5,5,0,1,8,3,1,3,5,7,L
2,13,9,10,8,0,2,4,7,7,8,2,0,1,1,1,V
2,6,7,8,8,5,8,3,6,8,8,3,1,2,2,1,X
7,6,6,10,8,6,5,5,7,7,9,10,12,8,8,9,V
10,4,6,5,8,3,2,2,8,9,6,8,11,5,7,10,M
1,10,9,10,6,2,7,1,10,4,4,5,3,5,4,6,Y
2,4,6,8,6,3,6,4,10,9,8,4,3,2,4,5,D
3,7,7,8,8,5,8,4,7,7,10,5,5,3,6,8,E
5,1,7,9,4,1,5,3,10,11,7,6,4,4,5,7,N
3,1,4,7,8,3,2,3,8,9,8,6,2,4,7,10,A
2,6,7,8,5,3,7,6,7,7,7,4,3,3,3,4,D
3,5,9,8,8,10,4,6,7,9,7,5,4,4,6,8,Z
5,8,9,8,8,0,4,3,10,5,7,5,2,3,3,5,N
3,6,7,8,8,4,4,4,7,7,8,5,2,4,8,11,X
6,8,8,11,7,4,4,1,10,6,5,6,7,4,7,9,F
5,4,9,10,10,2,5,4,4,6,8,5,2,6,4,9,N
0,0,1,8,6,0,6,6,0,0,8,4,1,3,7,4,L
5,6,8,9,6,1,5,2,10,7,7,6,3,4,4,5,N
1,6,8,8,8,5,9,2,11,7,7,3,1,1,2,3,Z
3,9,6,10,5,4,4,4,9,7,4,6,3,6,4,9,Y
0,6,7,8,8,0,4,4,7,7,8,0,0,0,1,0,I
9,8,10,13,7,3,3,2,9,4,5,8,9,8,8,11,W
3,9,9,9,9,1,6,5,7,7,8,3,2,2,2,1,U
5,4,7,9,7,5,5,6,9,8,9,4,2,6,5,10,O
1,9,12,11,4,1,6,3,11,5,5,4,2,3,3,4,T
3,5,6,7,8,5,5,5,8,7,6,6,4,4,4,5,O
5,7,9,11,6,5,0,4,8,8,7,6,9,4,10,7,P
1,9,9,9,10,2,6,5,12,4,7,2,1,2,2,3,C
2,8,6,10,11,4,6,6,10,6,9,4,2,3,5,7,G
6,7,7,10,7,8,3,5,7,8,9,6,8,4,6,8,B
3,6,7,8,11,5,7,4,7,5,9,4,3,3,3,4,K
8,10,10,10,8,2,4,3,11,3,6,8,5,8,6,8,W
2,11,11,10,8,1,4,3,4,9,8,4,2,2,4,6,V
