,x-box,y-box,width,high,onpix,x-bar,y-bar,x2bar,y2bar,xybar,x2ybr,xy2br,x-ege,xegvy,y-ege,yegvx,class
0,2,4,4,3,2,7,8,2,9,11,7,7,1,8,5,6,0
1,4,7,5,5,5,5,9,6,4,8,7,9,2,9,7,10,1
2,7,10,8,7,4,8,8,5,10,11,2,8,2,5,5,10,2
3,4,9,5,7,4,7,7,13,1,7,6,8,3,8,0,8,3
4,6,7,8,5,4,7,6,3,7,10,7,9,3,8,3,7,3
5,4,7,5,5,3,4,12,2,5,13,7,5,1,10,1,7,4
6,6,10,8,8,4,7,8,2,5,10,7,8,5,8,1,8,5
7,1,0,2,0,1,6,10,7,2,7,5,8,2,7,4,9,6
8,5,9,7,6,7,7,7,2,4,9,8,9,7,6,2,8,7
9,1,0,2,1,1,5,7,8,6,7,6,6,2,8,3,8,8
10,2,7,4,5,1,9,8,4,2,5,13,8,3,10,0,8,9
11,3,11,5,8,3,13,4,5,3,12,1,8,2,6,4,9,10
12,3,7,5,5,5,8,7,4,4,7,6,7,4,6,8,13,11
13,3,8,5,6,4,8,8,4,5,9,5,4,3,8,3,7,8
14,8,11,9,8,6,7,8,3,6,10,5,7,4,6,6,8,2
15,7,11,10,8,9,9,7,3,6,10,4,7,5,6,4,9,3
16,5,5,5,7,3,3,7,6,12,7,6,15,0,8,7,6,12
17,2,4,5,3,2,7,8,2,9,11,7,7,1,8,5,6,0
18,4,7,6,5,4,8,9,8,4,7,7,7,3,8,3,8,13
19,4,6,4,7,5,8,8,6,2,7,7,11,3,9,5,8,14
20,5,10,7,9,3,8,5,9,8,6,4,8,3,8,4,8,14
21,3,7,3,5,1,1,1,5,5,0,1,6,0,8,0,8,15
22,1,1,2,1,0,7,9,4,2,7,13,8,2,10,0,8,9
23,2,1,3,2,1,8,7,3,8,6,6,8,2,8,5,8,16
24,8,9,10,8,12,7,6,5,5,7,6,8,7,10,6,9,9
25,5,10,8,7,11,9,6,2,2,8,4,8,10,5,3,6,7
26,5,6,5,4,3,4,9,1,7,10,10,6,1,10,2,4,17
27,2,5,4,4,3,9,6,4,6,10,4,6,2,8,3,8,8
28,3,8,5,6,5,7,7,4,8,7,7,8,3,8,5,10,12
29,4,7,6,5,4,11,7,3,5,10,1,4,5,9,1,7,5
30,4,10,6,7,2,9,4,3,2,8,1,8,3,7,3,8,10
31,3,4,4,3,3,7,7,6,7,7,6,5,2,8,3,7,8
32,4,8,5,6,4,9,9,6,4,7,5,8,3,8,10,7,0
33,3,5,5,3,2,5,9,3,4,10,8,8,5,8,0,7,5
34,4,11,5,8,2,7,7,4,4,7,6,8,3,8,4,8,16
35,4,9,6,7,7,6,8,1,4,10,8,7,6,11,4,5,4
36,6,9,5,4,2,6,9,4,5,4,4,10,5,10,2,8,5
37,3,4,4,7,1,0,1,6,6,0,0,6,0,8,0,8,15
38,4,5,6,4,3,7,8,2,5,10,6,6,5,9,1,7,5
39,1,3,3,2,1,7,8,2,9,11,6,8,1,8,5,7,0
40,6,9,6,4,3,7,6,4,4,9,9,5,3,10,4,4,17
41,0,0,0,1,0,7,7,4,4,7,6,8,0,8,0,8,18
42,8,11,8,8,9,4,10,2,3,9,8,7,9,13,3,5,19
43,2,1,3,2,2,7,9,5,6,7,9,9,3,9,1,8,20
44,6,10,4,5,2,8,7,6,5,9,4,7,5,9,5,9,13
45,3,4,4,3,2,5,12,3,6,11,9,4,1,11,1,5,21
46,4,5,6,4,4,7,6,5,5,8,5,8,3,7,5,6,13
47,4,7,6,10,9,8,9,4,0,8,7,6,5,11,5,7,1
48,2,3,2,2,1,4,9,5,6,12,9,10,1,9,2,7,22
49,3,7,4,5,2,6,6,6,6,10,8,11,2,10,4,9,23
50,4,8,6,6,8,8,7,5,3,7,7,7,6,10,8,9,24
51,3,4,4,3,3,5,7,4,7,7,6,11,3,8,5,9,11
52,8,8,8,6,5,3,10,3,4,11,10,8,8,10,2,6,19
53,2,6,4,4,2,9,11,3,4,4,11,8,2,10,1,8,9
54,4,6,6,4,5,7,11,2,2,7,8,8,6,11,1,8,19
55,5,11,7,8,7,6,6,6,5,6,5,8,6,6,7,10,3
56,4,9,4,7,4,7,8,3,12,9,6,8,0,8,7,7,0
57,1,4,2,3,1,9,6,2,6,12,4,9,1,7,1,7,25
58,2,4,4,3,1,5,11,3,4,13,7,4,1,9,1,7,4
59,5,10,7,8,6,7,7,8,5,7,6,5,4,8,3,7,8
60,3,5,5,4,2,8,7,3,8,11,5,7,1,9,5,8,2
61,8,13,7,8,3,7,8,3,9,13,5,6,2,9,5,5,21
62,4,9,5,7,5,8,9,8,4,7,8,7,4,7,4,9,13
63,2,6,3,4,3,8,7,5,9,7,7,7,1,8,7,8,0
64,3,9,4,7,3,6,7,10,6,7,6,7,2,8,9,10,24
65,3,2,4,3,2,6,10,4,5,10,9,5,2,9,3,6,4
66,6,9,10,7,11,10,5,3,2,9,4,8,11,6,4,7,7
67,2,6,4,4,1,8,15,1,5,6,11,8,0,8,0,8,21
68,7,11,5,6,3,6,7,5,4,7,4,7,5,8,5,7,13
69,2,4,3,3,2,5,7,4,6,6,6,11,3,8,4,10,11
70,1,4,3,3,1,7,7,2,9,11,6,8,1,8,5,8,0
71,3,4,4,3,1,5,13,3,6,12,9,4,1,11,1,5,21
72,4,10,7,8,6,7,10,2,3,6,9,8,8,11,1,8,19
73,3,5,5,3,2,6,2,2,2,5,2,8,2,6,3,6,10
74,2,2,3,3,2,8,8,6,1,5,6,9,2,9,5,10,14
75,9,10,7,14,6,8,7,4,2,12,6,8,3,9,13,6,0
76,4,5,6,7,5,9,10,3,2,8,7,7,3,10,8,6,3
77,5,9,8,6,8,6,6,3,4,7,5,8,7,10,7,6,6
78,1,7,0,4,0,7,7,4,4,7,6,8,0,8,0,8,18
79,2,4,4,3,3,7,8,4,4,9,5,8,2,6,3,10,6
80,5,10,7,7,5,7,9,4,6,5,8,10,6,10,1,7,20
81,4,7,4,5,3,7,6,12,4,7,12,8,3,9,0,8,20
82,7,10,5,5,2,6,8,6,8,11,7,11,2,8,5,9,22
83,5,9,6,7,4,8,7,8,5,7,6,8,3,8,3,8,13
84,7,13,5,7,3,6,8,6,8,10,6,10,1,8,8,8,12
85,5,10,7,7,5,10,6,4,7,11,3,6,4,6,4,8,8
86,5,7,6,5,3,4,8,5,7,9,8,9,3,9,2,5,20
87,3,4,5,3,3,9,7,3,5,11,3,6,2,7,3,9,6
88,2,4,3,3,2,7,7,5,7,7,6,9,2,8,5,10,12
89,6,10,6,8,4,6,7,6,7,10,8,11,2,9,5,9,23
90,5,9,7,6,6,10,6,2,6,11,3,8,3,8,4,12,24
91,4,10,7,7,2,8,7,3,0,7,0,8,3,7,2,8,10
92,1,1,3,2,1,6,10,1,6,8,11,8,1,11,2,8,17
93,2,4,4,6,4,8,11,3,3,5,8,9,2,11,5,6,17
94,5,10,6,8,5,8,6,9,4,7,5,8,3,8,3,8,13
95,7,10,7,7,5,7,6,7,8,11,6,11,2,11,5,9,23
96,5,9,7,7,5,8,3,1,2,6,2,7,3,5,4,7,10
97,3,4,4,3,1,5,9,5,7,12,9,10,1,10,3,7,22
98,4,5,6,7,6,7,8,4,1,8,6,6,4,10,8,5,3
99,4,11,6,8,8,7,7,3,4,7,6,8,7,10,8,6,6
100,4,7,6,5,4,8,6,5,5,8,7,7,3,7,4,6,25
101,4,7,5,5,3,8,7,12,1,6,9,8,8,6,0,8,7
102,3,9,5,7,3,7,11,2,3,6,11,9,2,10,1,8,9
103,2,3,4,2,2,8,8,3,5,9,4,7,2,6,3,10,6
104,3,8,5,6,3,7,12,4,6,7,11,8,2,12,1,8,21
105,5,8,7,9,7,8,9,4,5,7,7,8,5,7,10,10,25
106,3,5,5,3,2,8,7,3,8,11,5,7,1,9,4,8,2
107,6,11,8,9,9,9,7,5,2,6,6,10,8,8,5,10,23
108,2,3,3,2,2,9,6,4,6,10,4,6,2,8,2,9,8
109,2,0,2,1,1,8,6,6,5,6,5,9,2,8,5,10,23
110,5,8,7,10,7,10,5,4,4,8,3,6,3,5,8,8,0
111,6,11,6,8,4,5,7,10,10,7,6,6,3,8,4,8,8
112,1,3,3,2,1,6,3,2,2,5,2,8,1,6,1,7,10
113,1,0,1,0,0,7,13,1,4,7,10,8,0,8,0,8,21
114,2,3,3,1,1,7,7,6,5,7,6,9,2,9,4,10,23
115,1,3,2,1,0,6,4,1,7,8,2,10,0,7,2,9,15
116,6,9,8,7,8,8,4,7,3,7,6,7,8,7,6,3,19
