@relation wisconsin-weka.filters.unsupervised.attribute.RandomProjection-N10-R10-DSparse1

@attribute K1 numeric
@attribute K2 numeric
@attribute K3 numeric
@attribute K4 numeric
@attribute K5 numeric
@attribute K6 numeric
@attribute K7 numeric
@attribute K8 numeric
@attribute K9 numeric
@attribute K10 numeric
@attribute class {M,B}

@data
1887.692599,-3255.654457,-446.599532,-3474.55605,3200.472103,526.508112,-15.448265,2069.757258,17.869915,32.13862,M
2409.55147,-3117.485215,-317.135316,-3277.743401,3250.166598,429.881154,-6.878441,1355.951823,30.531812,42.144252,M
2192.20336,-2691.439481,-342.641115,-2902.764179,2791.320635,469.158697,-8.683134,1132.428865,36.663324,46.041738,M
761.661774,-803.238669,-134.896135,-899.011878,948.151857,262.865176,-6.805141,475.348596,35.835265,48.64941,M
2330.272162,-2465.637778,-367.521245,-2662.219647,2543.625644,451.417006,-10.319403,740.159437,24.247343,30.489429,M
913.335246,-1100.215973,-148.557738,-1182.944075,1246.343976,258.522595,-4.530612,623.305728,27.029207,43.068898,M
1928.473666,-2526.737855,-251.98587,-2649.633503,2689.95806,383.100073,-6.484157,1232.100127,34.244983,49.592262,M
1095.093904,-1348.047987,-194.899208,-1493.814953,1476.836273,329.382994,-8.402196,731.073548,35.984118,51.316604,M
994.012059,-1075.479383,-140.081306,-1180.039303,1259.026416,284.779966,-5.129953,548.866445,37.689408,55.436363,M
914.001981,-1014.936463,-116.010737,-1149.19091,1228.832509,299.162847,-4.383197,548.235529,41.491121,73.637172,M
1487.481423,-1754.537311,-188.833879,-1893.119498,1942.27972,347.013956,-6.162879,805.832741,40.206495,61.035032,M
1470.0625,-2023.236046,-225.219762,-2144.000176,2160.660428,351.555617,-7.060826,1117.067843,31.255896,49.357349,M
2038.074636,-2022.230736,-377.100249,-2311.92616,2100.9009,525.625112,-24.59287,614.701021,42.935704,58.262311,M
1435.749586,-1290.14196,-194.456392,-1434.629661,1467.690629,332.485218,-6.614234,349.801708,41.325035,50.045375,M
1090.824312,-990.031039,-139.675418,-1095.407961,1199.105737,290.120745,-4.207273,379.113394,39.141906,57.787868,M
1262.44415,-1401.611253,-159.091465,-1527.121524,1604.572215,336.03225,-5.73295,690.912417,47.517723,66.568226,M
1297.576948,-1752.808631,-188.575906,-1877.271944,1906.458122,331.135327,-7.431832,980.266729,34.554621,55.965284,M
1498.966115,-2035.843907,-225.725694,-2176.884971,2193.838988,371.498658,-7.859458,1111.908653,35.529662,56.725814,M
2356.205293,-3874.963298,-365.187636,-4073.22068,3953.386379,511.784848,-11.399458,2278.627846,37.803152,55.59103,M
1049.846917,-1046.783196,-158.609591,-1128.533081,1193.823917,250.587949,-4.702674,415.19487,24.592801,35.012849,B
969.08984,-907.991549,-138.06752,-980.646642,1073.842593,236.465586,-3.285839,349.752119,27.201633,36.983949,B
518.687106,-413.156198,-104.253489,-485.52674,523.808191,180.434765,-4.757892,178.174369,21.354991,28.975121,B
1310.169165,-1489.007405,-221.607622,-1589.208735,1615.328735,313.218837,-6.275844,687.240972,24.68595,34.804645,M
2602.438433,-4229.924265,-337.73257,-4414.275974,4369.200041,502.030648,-9.028713,2400.653631,39.623485,63.914272,M
1756.060288,-3591.930947,-312.334625,-3753.817306,3656.771483,459.995819,-10.499259,2557.792451,36.656223,56.63034,M
1697.652937,-2293.71769,-355.130362,-2499.865659,2322.130432,459.446032,-13.731266,1203.825246,28.208439,39.210029,M
1225.19929,-1326.936783,-147.346168,-1417.924355,1538.79426,300.061053,-4.375767,628.619504,37.432666,59.672888,M
1987.376453,-2170.204571,-324.922824,-2396.5393,2267.555693,455.910275,-12.517514,764.274312,34.632945,50.660148,M
1423.307174,-1956.891723,-188.496716,-2063.949132,2143.350295,360.139418,-6.917083,1168.078333,43.6716,65.791841,M
1741.138445,-1892.470977,-270.282787,-2031.514898,2009.614305,364.973607,-9.004378,696.262947,25.968326,35.466378,M
2020.276134,-2617.159982,-337.805264,-2850.056317,2718.147724,500.534174,-11.50177,1269.728082,42.997555,61.852525,M
891.280315,-1355.680624,-156.584772,-1441.350465,1480.043754,287.178337,-6.984426,966.504079,32.19271,51.005846,M
1669.116257,-2076.344864,-256.30538,-2258.529703,2221.438438,409.996414,-8.790747,991.462429,40.970519,58.484137,M
2152.67247,-2865.875233,-285.225519,-3029.4031,3026.084078,439.048229,-6.128879,1399.032361,45.868105,54.980226,M
1505.528405,-1951.876374,-198.339424,-2048.572467,2130.42255,324.249796,-4.150357,999.661524,31.069003,48.889632,M
1613.905699,-1887.954234,-218.02988,-2017.888925,2059.35515,356.713959,-6.503089,841.023302,37.268087,52.481701,M
1196.785412,-1169.712727,-152.355138,-1269.000139,1360.904172,295.626016,-5.719699,474.91612,37.386074,54.766671,M
963.4322,-759.655544,-127.931058,-861.17611,935.108874,239.066434,-5.959866,176.983965,31.733544,43.721618,B
1264.201995,-999.951982,-303.470769,-1289.397159,1030.127986,436.437573,-17.576956,163.64849,43.416698,47.488342,M
1062.406658,-1084.198218,-139.891179,-1166.638484,1264.436719,266.394801,-2.929279,490.732931,35.701014,46.329004,M
1065.939054,-1162.697605,-132.141793,-1263.042764,1350.537015,274.635329,-3.933054,552.135033,37.284924,54.134851,M
726.000822,-703.107198,-92.488846,-809.839245,895.440182,252.180224,-5.132396,374.404329,36.433238,63.913811,M
2066.678572,-2579.83949,-344.745851,-2792.172911,2676.461418,504.552653,-17.083789,1239.25729,43.180719,60.840869,M
1050.356469,-1371.609204,-156.511973,-1468.697329,1530.077125,289.185645,-5.121553,809.471555,35.043112,50.285259,M
1019.572972,-1083.265093,-121.086806,-1164.701111,1278.082624,262.633242,-2.867566,531.325794,37.746311,53.245551,M
1973.407896,-2463.703216,-300.304805,-2614.049454,2578.259905,405.737214,-7.810545,1104.354971,30.01147,38.515988,M
402.312344,-291.217211,-65.589716,-366.340255,425.449101,171.017149,-3.437255,160.362167,29.19624,39.973514,B
1012.031623,-1117.794416,-142.175979,-1214.432235,1289.890366,271.726209,-4.215084,551.420493,32.022814,50.392231,M
845.076561,-837.856261,-133.428932,-916.584663,982.542228,230.828471,-4.099314,376.025667,24.967928,37.330808,B
1054.813243,-1003.448331,-130.128804,-1116.676166,1200.487498,279.315346,-5.142771,393.732059,38.405854,57.728465,B
810.47436,-719.78542,-133.611113,-843.573496,862.412632,260.724093,-6.546442,289.755386,37.345362,46.841146,B
1057.066018,-945.46116,-135.875714,-1027.749314,1123.994547,244.753928,-3.847543,301.648218,28.280849,41.953421,B
823.506137,-745.028587,-124.182726,-832.926277,894.046626,229.966308,-3.657121,294.826605,31.453488,38.310678,B
1873.884187,-2037.257725,-336.418809,-2267.332261,2113.612902,453.758153,-10.836507,722.475856,32.135539,44.888094,M
1336.097498,-1560.357345,-164.977424,-1673.978929,1751.264219,313.337088,-4.764075,736.407572,37.847236,56.587965,M
773.996418,-710.468958,-128.347767,-812.667188,848.528123,239.113355,-5.451353,303.601504,32.399309,40.923064,B
